feature,importance
EXT_SOURCE_MEAN,566880.1675243378
CREDIT_ANNUITY_RATIO,129994.48625183105
EXT_SOURCE_3,75578.78265190125
EXT_SOURCE_1,43582.31760787964
EXT_SOURCE_2,36984.21889305115
AMT_GOODS_PRICE,33264.329500198364
AMT_ANNUITY,26377.827449798584
NAME_EDUCATION_TYPE,25595.740921020508
AMT_CREDIT,25171.434158325195
DAYS_BIRTH,24950.998363494873
AGE_YEARS,24442.359086990356
OWN_CAR_AGE,23185.979986190796
CODE_GENDER,22774.92447090149
DAYS_ID_PUBLISH,20660.92677307129
EMPLOYMENT_YEARS,18995.528429031372
DAYS_EMPLOYED,18584.1741065979
DAYS_LAST_PHONE_CHANGE,14921.843368530273
PAYMENT_BURDEN,14098.779350280762
DOCUMENTS_SUBMITTED,13937.041751861572
INCOME_CREDIT_RATIO,13831.970825195312
DAYS_REGISTRATION,13413.878547668457
FLAG_DOCUMENT_3,9681.831893920898
INCOME_PER_PERSON,9527.648315429688
AMT_REQ_CREDIT_BUREAU_YEAR,9472.415943145752
REGION_POPULATION_RELATIVE,8976.029308319092
ORGANIZATION_TYPE,8113.87131690979
SK_ID_CURR,8102.061971664429
NAME_FAMILY_STATUS,7374.786979675293
AGE_YEARS_SQUARED,7286.779249191284
AMT_INCOME_TOTAL,6540.371311187744
NAME_INCOME_TYPE,6029.92467880249
DEF_60_CNT_SOCIAL_CIRCLE,5759.32420539856
AMT_REQ_CREDIT_BUREAU_WEEK,5533.769073486328
AMT_REQ_CREDIT_BUREAU_QRT,5486.602123260498
REGION_RATING_CLIENT_W_CITY,5240.242654800415
OCCUPATION_TYPE,5219.142202377319
NAME_CONTRACT_TYPE,5155.084922790527
HOUR_APPR_PROCESS_START,5059.888277053833
YEARS_BEGINEXPLUATATION_MODE,4903.371297836304
LIVINGAREA_AVG,4641.822906494141
LIVINGAREA_MEDI,4539.89289855957
LANDAREA_AVG,4528.6387939453125
LOG_CREDIT,4512.0900020599365
APARTMENTS_MODE,4387.222681045532
TOTALAREA_MODE,4315.035995483398
YEARS_BEGINEXPLUATATION_AVG,4263.814182281494
BASEMENTAREA_MODE,4194.460615158081
REG_CITY_NOT_LIVE_CITY,4094.55233001709
COMMONAREA_MODE,3657.861312866211
LANDAREA_MODE,3522.9870986938477
LIVINGAREA_MODE,3346.786512374878
OBS_60_CNT_SOCIAL_CIRCLE,3243.364507675171
NONLIVINGAREA_MODE,3205.2721157073975
APARTMENTS_AVG,3164.1282844543457
OBS_30_CNT_SOCIAL_CIRCLE,3147.7930965423584
YEARS_BEGINEXPLUATATION_MEDI,3143.2260932922363
DEF_30_CNT_SOCIAL_CIRCLE,3024.513603210449
FLAG_OWN_CAR,2823.1272048950195
LIVINGAPARTMENTS_MODE,2813.4277954101562
APARTMENTS_MEDI,2807.058280944824
COMMONAREA_MEDI,2798.761688232422
FLOORSMAX_AVG,2691.5437965393066
COMMONAREA_AVG,2687.4490909576416
BASEMENTAREA_MEDI,2652.868190765381
BASEMENTAREA_AVG,2620.8898906707764
LIVINGAPARTMENTS_MEDI,2575.7600898742676
NONLIVINGAREA_AVG,2545.0954093933105
AMT_REQ_CREDIT_BUREAU_MON,2536.028787612915
YEARS_BUILD_MODE,2528.026786804199
WEEKDAY_APPR_PROCESS_START,2492.876195907593
ENTRANCES_AVG,2419.4257049560547
LANDAREA_MEDI,2368.293296813965
LIVINGAPARTMENTS_AVG,2165.857292175293
REGION_RATING_CLIENT,1977.2495021820068
YEARS_BUILD_MEDI,1896.0960998535156
NONLIVINGAREA_MEDI,1873.1602935791016
FLAG_WORK_PHONE,1873.0028839111328
YEARS_BUILD_AVG,1812.436393737793
NONLIVINGAPARTMENTS_MODE,1763.1926860809326
FLOORSMAX_MEDI,1618.1786003112793
WALLSMATERIAL_MODE,1535.320119857788
FLOORSMIN_AVG,1530.7843074798584
NAME_HOUSING_TYPE,1526.1629085540771
NONLIVINGAPARTMENTS_AVG,1495.3206939697266
FLOORSMAX_MODE,1373.2699089050293
NAME_TYPE_SUITE,1271.1946067810059
AMT_REQ_CREDIT_BUREAU_DAY,1244.9664039611816
ELEVATORS_AVG,1200.9973011016846
CNT_FAM_MEMBERS,1200.7651920318604
ENTRANCES_MODE,1159.3613014221191
CNT_CHILDREN,1115.7212944030762
FLOORSMIN_MODE,1029.0492973327637
ENTRANCES_MEDI,829.3817939758301
NONLIVINGAPARTMENTS_MEDI,800.4261016845703
LOG_INCOME,683.9210014343262
FLAG_PHONE,681.6423034667969
FLAG_OWN_REALTY,651.1479988098145
FLAG_DOCUMENT_8,648.0389995574951
FONDKAPREMONT_MODE,580.7053031921387
ELEVATORS_MODE,571.7660083770752
FLAG_DOCUMENT_11,489.1804962158203
ELEVATORS_MEDI,460.077392578125
REG_REGION_NOT_LIVE_REGION,430.70169830322266
FLAG_DOCUMENT_6,393.2209930419922
AMT_REQ_CREDIT_BUREAU_HOUR,332.27840423583984
REG_CITY_NOT_WORK_CITY,331.30299377441406
FLAG_DOCUMENT_13,323.4760932922363
PHONE_CONTACT_COUNT,268.4302978515625
FLOORSMIN_MEDI,263.2464942932129
FLAG_EMAIL,225.68900299072266
REG_REGION_NOT_WORK_REGION,212.48690032958984
FLAG_EMP_PHONE,206.697998046875
LIVE_CITY_NOT_WORK_CITY,176.31919860839844
FLAG_DOCUMENT_5,77.42279815673828
FLAG_CONT_MOBILE,57.434200286865234
FLAG_DOCUMENT_15,57.41460037231445
FLAG_DOCUMENT_16,53.096900939941406
LIVE_REGION_NOT_WORK_REGION,52.25910186767578
FLAG_DOCUMENT_18,39.03150177001953
EMERGENCYSTATE_MODE,18.529800415039062
FLAG_MOBIL,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_2,0.0
HOUSETYPE_MODE,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_14,0.0
